,S1a,S1b,S2a,S2b,S3a,S3b,time
122,5.687914,6.957019,4.76677,4.7127495,4.0465693,3.7333322,12.200000000000001
123,6.8452935,6.58725,4.8767776,4.674212,3.353528,3.4680529,12.3
124,6.56594,6.921026,4.2963524,5.046627,4.4745054,3.9571247,12.4
125,6.7142916,6.6488066,4.205391,4.7794333,5.6217523,4.125547,12.5
126,6.538162,6.2079268,4.701118,4.2679687,5.9797883,4.544706,12.600000000000001
127,6.4402857,6.81025,4.7074566,4.2279167,5.260556,2.978879,12.700000000000001
128,6.5643067,6.9191046,4.630148,4.0974174,4.198669,3.3122997,12.8
129,6.8909035,6.633163,5.347391,4.3873873,4.4009643,3.83598,12.9
130,7.187271,6.4808064,4.9100933,4.8147836,4.3857355,4.0786953,13.0
131,6.761846,6.6991954,4.9178596,4.425283,4.7191195,3.3923128,13.100000000000001
132,6.998694,6.280968,5.298057,3.7991605,3.9202428,3.632829,13.200000000000001
133,6.6732526,7.5065546,4.305773,4.916659,4.452509,4.042852,13.3
134,6.5248256,6.5254507,4.755034,4.7300777,3.9314766,4.040601,13.4
135,6.926885,6.163142,4.7102284,4.818848,4.103407,4.099721,13.5
136,6.570133,6.5999646,5.1209984,3.7758472,3.8529234,5.081641,13.600000000000001
137,6.62154,7.2824373,4.2460747,3.8170888,5.0074806,4.6770787,13.700000000000001
138,6.9537926,6.4084654,4.919223,4.536067,4.4321065,2.9884675,13.8
139,5.8527145,6.5773754,4.6233253,4.4871693,4.987049,4.330956,13.9
140,7.1574917,6.7661357,4.8380046,3.4017863,3.4686086,3.6001267,14.0
141,6.59997,7.1411285,5.0616837,4.730217,3.7927814,3.300982,14.100000000000001
142,6.627465,6.186039,5.2394857,3.8788497,4.1979933,5.462191,14.200000000000001
143,6.189968,7.168228,4.819214,4.445197,4.035265,4.601767,14.3
144,6.2380176,6.6777444,4.9890656,4.483915,3.882697,3.6541991,14.4
145,6.388736,7.355492,4.767997,4.6636047,3.9899943,3.3523223,14.5
146,7.192477,6.7971587,4.889707,4.673758,3.7861285,3.6708627,14.600000000000001
147,6.54469,6.814468,4.4820433,5.0029325,4.4192495,4.287268,14.700000000000001
148,6.7571936,7.060979,4.98858,4.65139,3.9450965,3.884472,14.8
149,6.813514,6.7327476,4.723162,5.102115,4.423578,4.5800776,14.9
150,7.4170804,6.3689876,4.494409,4.315488,5.1703067,3.143698,15.0
151,7.1515875,6.7385283,4.669525,4.7352753,4.3690276,4.1752334,15.100000000000001
152,6.75272,6.417138,4.9523215,4.147878,5.0055075,4.2795963,15.200000000000001
153,7.563835,6.04363,4.930897,4.6246986,3.686124,4.4439416,15.3
154,6.8058004,7.2750115,4.5786557,4.1885633,3.775185,3.8573716,15.4
155,6.8565583,6.9383383,4.9767466,4.4289904,3.9257827,4.824471,15.5
156,6.44496,6.617445,4.4378366,4.2057843,4.4245663,3.8617613,15.600000000000001
157,6.8890676,6.944718,5.233311,4.2497973,4.148913,3.892851,15.700000000000001
158,6.804393,6.9423065,5.250211,4.1937037,3.864447,3.3921142,15.8
159,6.9298325,6.3990827,4.6402926,4.776886,3.9497302,3.704514,15.9
160,6.3559303,6.388487,4.2432156,5.606852,3.8276746,4.1458607,16.0
161,5.579666,6.9224024,3.568963,4.566043,4.6787534,4.5118985,16.1
162,6.6028934,6.5807667,5.1248198,4.471827,4.325674,4.428931,16.2
163,6.207657,7.0062933,4.3958716,3.9372501,3.6713328,3.9725823,16.3
164,6.878025,7.27884,5.192123,4.9651294,5.103261,4.547756,16.400000000000002
165,5.9700723,6.62212,4.989944,5.1200204,3.882331,3.67545,16.5
166,6.4097733,7.0224137,4.661733,3.9390373,4.1597753,4.3476186,16.6
167,6.3345485,6.58049,4.953347,3.559002,4.234663,3.9331627,16.7
168,5.8962793,6.6133366,4.9096484,4.413917,5.0397544,3.7287834,16.8
169,6.6229696,6.9204307,4.7288985,4.6746807,4.4463115,3.9112358,16.900000000000002
170,7.018652,6.4315896,4.729613,5.0286937,4.129833,3.135294,17.0
171,6.2308397,7.194783,4.5557976,3.5786102,4.033341,4.276095,17.1
172,6.6663837,7.0410895,4.396222,4.7572403,3.7067194,4.2277904,17.2
173,6.6674576,7.0959573,4.8038406,4.7285886,3.495402,4.118598,17.3
174,5.974054,6.6452894,4.7798796,4.3417587,3.351534,3.7061188,17.400000000000002
175,7.081131,6.71876,4.9363685,4.500218,4.24512,3.9170318,17.5
176,6.1826315,6.0547523,5.2761602,4.4398823,4.36513,3.5914373,17.6
177,6.6427855,6.6655564,4.6841373,5.1781983,4.6952934,4.0557547,17.7
178,7.0063305,6.9806027,4.12113,5.4171658,4.2861,4.173754,17.8
179,5.988888,6.636899,5.2627063,4.217713,3.7179203,4.036371,17.900000000000002
180,7.094075,7.064204,4.1425223,5.0842834,4.209198,4.7381244,18.0
181,7.02141,6.879577,4.2415648,4.2046075,3.9780972,4.1285205,18.1
182,6.2602115,7.096562,4.498515,4.0668855,3.6769474,4.653074,18.2
183,6.3576126,6.750522,4.3756537,2.8835254,3.2303104,3.4179564,18.3
184,6.0474653,6.3687315,3.579516,4.2844615,3.473462,4.0707912,18.400000000000002
185,5.7508764,6.6116266,4.612003,5.171223,4.1822023,4.125038,18.5
186,6.079784,6.6827116,5.335226,4.4021015,3.3050692,4.7815604,18.6
187,6.0100403,6.5899353,5.1845837,4.1913457,4.619222,3.7111573,18.7
188,5.555482,6.863884,4.3275204,4.825724,4.6270156,4.3256683,18.8
